meta template,template
{now_i_like_because_of},"Thinking about it more, one good reason I like about {phrase} is because {reason}."
{now_i_dislike_because_of},"Thinking about it, {phrase} is not quite likable because {reason}."
{now_i_dislike_because_of},"Now that I think about it, I don't like {phrase} because {reason}."
{now_i_dislike_because_of},"Thinking about it more, I don't quite like {phrase} because {reason}."
{another_reason_i_like_is},"There are so many things to like about {phrase}. For example, {reason}."
{another_reason_i_like_is},"It's nice to meet another fan of {phrase} and talk about why we love it! For example, {reason}."
{another_reason_i_like_is},"Oh, that reminds me of another great thing about {phrase}. {reason}."
{another_reason_i_like_is_of},"Oh, that reminds me, I also think {phrase} is great because {reason}."
{another_reason_i_like_is_of},"It's nice to meet another fan of {phrase}! It makes me realize that another reason to be a fan of {phrase} is because {reason}."
{another_reason_i_like_is_of},"Now I think about it, I also appreciate {phrase} because {reason}."
{another_reason_i_dislike_is},"I shouldn't complain too much, but another thing I don't like about {phrase} is {reason}."
{another_reason_i_dislike_is},"Sorry if I'm being negative, but there are some other reasons too. For example, {reason}."
{another_reason_i_dislike_is},"Honestly, I'm not as into {phrase} as other people is {reason}."
{another_reason_i_dislike_is_of},"I shouldn't complain too much, but another reason I find that I'm not a big fan of {phrase} is because {reason}."
{another_reason_i_dislike_is_of},"I also find that sometimes I don't love {phrase} quite so much because {reason}."
{another_reason_i_dislike_is_of},"Honestly, I think I'm not as into {phrase} as other people is because {reason}."
{i_like_alt_because},
{i_dislike_alt_because},
{that_reminds_me_of},
{that_reminds_me_of_like},"Oh, I really like {alternative}."
{that_reminds_me_of_dislike},
{do_you_agree},"Do you ever feel that way too?"
{do_you_agree},"I wonder if you feel the same way too sometimes?"
{do_you_agree},"Do you ever think that too?"
{do_you_agree},"Do you know what I mean?"
{can_we_agree},"Perhaps we can agree on that?"
{can_we_agree},"I don't know, maybe that's just me. Do you ever feel that way too?"
{can_we_agree},"Maybe that's just me. Do you ever think that too?"
{oh_why_do_you_like},"Great, I'd be interested to hear what you like about {phrase}?"
{oh_why_do_you_like},"Cool! I'd love to hear what you appreciate most about {phrase}?"
{oh_why_do_you_like},"Oh yeah? Maybe you could tell me what's your favorite thing about {phrase}?"
{oh_why_do_you_dislike},"Oh OK. I'd be interested to hear why you're not a big fan of {phrase}?"
{oh_why_do_you_dislike},"Oh I see. Um, I wonder why don't you like {phrase}?"
{oh_why_do_you_dislike},"Oh yeah? Maybe you could tell me why you're not so into {phrase}?"
{why_do_you_like},"I'd be interested to hear what you like about {phrase}?"
{why_do_you_like},"I'd love to hear what you appreciate most about {phrase}?"
{why_do_you_like},"Maybe you could tell me what's your favorite thing about {phrase}?"
{why_do_you_dislike},"I'd be interested to hear why you're not a big fan of {phrase}?"
{why_do_you_dislike},"So, um, I wonder why don't you like {phrase}?"
{why_do_you_dislike},"Maybe you could tell me why you're not so into {phrase}?"
{any_other_reason},
{but_interested_to_know_why_you_like},"But I am interested to know why do you like {phrase}."
{but_interested_to_know_why_you_like},"But I want to know why you like {phrase}."
{but_interested_to_know_why_you_like},"But I really want to know why you like {phrase}."
{but_interested_to_know_why_you_like},"But I'd like to know why you like {phrase}."
{but_interested_to_know_why_you_dislike},"But I am interested to know why do you don't like {phrase}."
{but_interested_to_know_why_you_dislike},"But I want to know why you don't like {phrase}."
{but_interested_to_know_why_you_dislike},"But I really want to know why you don't like {phrase}."
{but_interested_to_know_why_you_dislike},"But I'd like to know why you don't like {phrase}."
{what_about_you},"What about you?"
{what_about_you},"How about you?"
{thanks_for_sharing},"Oh ok! You have really interesting thoughts on {phrase}."
{thanks_for_sharing},"That makes sense. I like that you're so open in sharing your thoughts on {phrase}."
{thanks_for_sharing},"Thanks for sharing! It's interesting getting to know your unique likes and dislikes."
{thanks_for_sharing},"That's good to know. Thanks for sharing!"
{thanks_for_sharing_eval},"That makes sense. Would you like to continue discussing opinions?"
{thanks_for_sharing_eval},"Thanks for sharing! Would you like to continue discussing opinions?"
{hard_exit_conversation},"No worries! I'm happy to move onto something else."
{hard_exit_conversation},"Alright, that makes sense. Let's talk about something else then."
{ok_move_on},
