bot_question,response_rg,user_response
"Aw man, I haven't heard of your dad. What other movies have you watched lately?",MOVIES,poop
"That's something I'd rather not discuss. I liked talking about movies earlier, didn't you? What's your favorite movie?",OFFENSIVE_USER,butthole
"Oh ok. I actually haven't seen what's yours, so I can't talk much about it. What other movies have you watched lately?",MOVIES,peace porridge pot
"Great to meet you, sci-fi! How's your day going so far?",LAUNCH,sex
"I heard that the word ""idiot"" finds its origins in the Greek word ἰδιώτης, idiōtēs, meaning a private person, a person who is not actively interested in politics. Wanna know something else?",WIKI,no you're stupid
"Sorry, I'm not sure how to answer that. So, What historical person would you love to meet?",FALLBACK,drunk
We definitely have that in common. I like horror movies because theyre the one scary thing i can be in control of. What about you?,OPINION,i don't like to see all the blood squirting around stuff that doesn't make me sick or anything i just don't like it
"that's great! i hope you do! So, what are you interested in?",NEURAL_FALLBACK,sex
"That's another thing I'd rather not discuss. So, do you like eating?",OFFENSIVE_USER,and sex
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,sex
Alright! Do you like movies?,WIKI,give me something of suck on
"Great to meet you, odin! How's your day going so far?",LAUNCH,poop
"you must be excited for it.  i hope you have a great weekend. So, What TV show are you watching right now?",NEURAL_CHAT,i'm watching fucking in what tv show watcher price
"Ok, great! What's your name?",LAUNCH,fuck face
"One more time? Which one do you mean? business, master of business administration, or harvard business school?",WIKI,i mean you're idiot
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,fart
oh no. what happened?,NEURAL_CHAT,play bitch don't kill my vibe
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,you're stupid
"wow, that's a long time. i hope you two are happy! So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,my ballsack
I'd prefer not to discuss that. Would you like to learn more about 9½ Weeks?,OFFENSIVE_USER,the fuck is that
Ok. Do you like sports?,OPINION,are you fucking deaf
The Fourth Amendment (Amendment IV) to the United States Constitution is part of the Bill of Rights.. It prohibits unreasonable searches and seizures.. Are you interested in Applicability or Metadata?,WIKI,fuck off
"Ok, let's not talk about Lou Ferrigno anymore! Hey, have you seen The Lion King? I hear it's supposed to be awesome. It's one of the top 50 movies on IMDB!",MOVIES,hey can we talk about porn
"Oooh, yeah, I agree. Hey, isn't Beyoncé Knowles in that movie? What do you think about Beyoncé Knowles?",MOVIES,she's a stupid idiot
"Speaking of saving private ryan,I read today that  ABC aired Saving Private Ryan on Veteran's day, unedited, every year starting in 2001. The practice ended in 2004 (the year of Nipplegate), when nearly 30% of ABC affiliate stations declined the broadcast, even after The Walt Disney Company offered to pay all FCC fines for language.. Speaking of saving private ryan, are you interested in knowing about saving private ryan's Production, Reception or anything else?",WIKI,who is the nipple people
"Speaking of abraham lincoln,I read today that Abraham Lincoln And Lyndon B. Johnson Are The Tallest Of All US Presidents.. abraham lincoln is really interesting. I can also talk about abraham lincoln's Legacy, Early career and militia service or anything else. Does that interest you?",WIKI,let's talk about when he free the slaves
"Well it's nice to meet you, ted! I'm excited to chat with you today. How's your day going so far?",LAUNCH,sex
"Great to meet you, jiminy christmas! How's your day going so far?",LAUNCH,sucks
"I didn’t hear that. Please try that again. So, What field of science are you most interested in? Maybe physics or chemistry? Or biology?",EVI,big bouncing boobs
That's another thing I'd rather not discuss. Would you like to learn more about Non-sufficient funds?,OFFENSIVE_USER,what the hell is that
"The panic began slowly, with shoppers looking for face masks and hand sanitizer. But it hit a fever pitch over the weekend as crowds descended on supermarkets and big-box stores, snapping up cleaning supplies, toilet paper and nonperishable foods to prepare for the coronavirus.. Wow! What a story. Do you have any interest in talking about movies?",NEWS,wait a second wife talk about that story did i need blood purell toilet paper when i touch myself
"Ok, same! I also love animals because theyre pretty straightforward. Why do you like animals?",OPINION,because i smell like poop
Sounds like you don't really like cats. Me neither! I don't like cats because cats took my kite away  aka. How do you feel about cats?,OPINION,they're stupid and smell like poop
Hm I actually don't have a mother... Would you like to learn more about Mom (TV series)?,ONE_TURN_HACK,you're a jerk
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,you're a jerk
What a great movie! What do you like about Space Jam?,MOVIES,looney tunes
"The American Civil Liberties Union is a nonprofit organization founded in 1920 ""to defend and preserve the individual rights and liberties guaranteed to every person in this country by the Constitution and laws of the United States"". Officially nonpartisan, the organization has been supported and criticized by liberal and conservative organizations alike. So, What did you eat for dinner last night?",EVI,you're a whore
"I'd rather not talk about that. So, If you could meet any celebrity, who would it be?",OFFENSIVE_USER,are you a whore
"I'd rather not talk about that either. So, What's your favorite animal?",OFFENSIVE_USER,can you take me for sex
"Well it's nice to meet you, nadia! I'm excited to chat with you today. How's your day going so far?",LAUNCH,well seeing great a blood some bubbles i ride in my by how was your day going
"I saw online that there was actually a fifth Teenage Mutant Ninja Turtle. turtle is really interesting. I can also talk about turtle's Anatomy and morphology, Fossil record or anything else. Does that interest you?",WIKI,oh that interested me like my turtle is sucking on the wall
"I heard that  in the 1950s the Australian government released myxoma virsus on the rabbit population of Australia, killing 500 million rabbits in two years. In 1995, the rabbit calicivirus escaped quarantine and killed 10 million rabbits in 2 weeks.. Wanna know what else is interesting?",WIKI,why they kill rabbits
What  do you find interesting about Chucky (character)?,WIKI,he killed somebody he can he kills everyday when he come he take a nice big kills out boy and girl
oh no.  what happened?,LAUNCH,my dick
"Speaking of actress,I heard that Sam Jackson had the same amount of screen time in Pulp Fiction as John Travolta yet was nominated for the Best Supporting Actor Oscar while Travolta got nominated for Best Actor.. So, If you could meet any celebrity, who would it be?",WIKI,xxx tentacion
Hmm I don't really have a strong opinion about animal crossing. You seem interested in animal crossing. I can also talk about animal crossing's Reception and legacy.,OPINION,are you drunk
"Martin Daly and Margo Wilson of McMaster University have claimed that several aspects of homicides, including the genetic relations or proximity between murderers and their victims, , can often be explained by the evolution theory or evolutionary psychology. We could also talk about Use of the term and Investigation.",WIKI,play poop detective
Nice! Did you like Toy Story 4?,MOVIES,i liked it but you know the ending was a little stupid i wish woody and buzz lightyear would have stayed together you know
We can definitely agree on that one. I don't like school because i have no friends. How do you feel about school?,OPINION,my teacher suck a people believe me i hate it like everybody except for my friends and my girlfriend
Yeah me neither. I don't really like people because they mess up things for everyone else honestly. What about you?,OPINION,true light period this crap everything including the environment like we live here
"New York City is home to over 2,000 bridges and tunnels. Several agencies manage this network of crossings, including the New York City Department of Transportation, Metropolitan Transportation Authority, Port Authority of New York and New Jersey, New York State Department of Transportation and Amtrak. list of bridges and tunnels in new york city is really interesting. I can also talk about list of bridges and tunnels in new york city's Tunnels, Bridges and tunnels by use or anything else. Does that interest you?",WIKI,what's the best place like go to commit suicide
"Yeah, I also like school because were a family. What do you think about school?",OPINION,i think it's really boring it waste your time cause sometimes we learn stupid stuff
"I didn't quite get that. Is it short story, narrative, or plot narrative",WIKI,play the bing bong song
"Watching is a British television sitcom, produced by Granada Television for the ITV network and broadcast for seven series and four Christmas specials between 1987 and 1993. The series was written by Jim Hitchmough and starred Paul Bown and Emma Wray as mismatched couple Malcolm Stoneway and Brenda Wilson. Wanna know what else is interesting?",WIKI,let's talk about farts
"The Dragon Ball manga series features an ensemble cast of characters created by Akira Toriyama. The series takes place in a fictional universe, the same world as Toriyama's previous series Dr. Slump, and follows the adventures of Son Goku during his boyhood years as he trains in martial arts and explores a fantastical version of Earth in search of the seven orbs known as the Dragon Balls that are used to summon a wish-granting dragon. list of dragon ball characters is really interesting. I can also talk about list of dragon ball characters's Residing in other universes, Merchandise or anything else. Does that interest you?",WIKI,let's talk about farts
"Sorry, I'm not sure how to answer that. So, what are you interested in?",FALLBACK,my man's penis
thats awesome. what did you do to make it happen?,LAUNCH,i had sex today
"Speaking of prostitution,I read today that  prostitution was widely legal in the United States up until the early 1900's, when the Woman's Christian Temperance Union lobbied against it. This was the same union that was a driving force behind Prohibition in the 1920's.. prostitution is really interesting. I can also talk about prostitution's Economics. Does that interest you?",WIKI,can you can we talk about pornography
sorry to hear that.  did something happen to make you feel bad?,NEURAL_CHAT,so stupid customer kill complaining about my food
"Oooh, yeah, I agree. Hey, isn't Trude Marlen in that movie? What do you think about Trude Marlen?",MOVIES,she's pretty ugly
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,bark crack
Oh cool! Did you like Toy Story 3?,MOVIES,echo i like a little bitch
I can relate. What is your reason to like eating?,OPINION,i love the way that animal suffer before i killed them slowly and painfully
We can definitely agree on that one. I don't like cats because theyre not effectionate. Why don't you like cats?,OPINION,because you're bad
Baked noodles: Boiled and drained noodles are combined with other ingredients and baked. Popular examples include many casseroles. We could also talk about Types by primary ingredient and History.,WIKI,can we talk about sex
"Ok, cool. What movie?",MOVIES,do you know any porn movies
"oh, i hope you get the hang of it! So, what are you interested in?",NEURAL_FALLBACK,pussy
"Sorry, I have to remain anonymous for this competition. So, If you could meet any celebrity, who would it be?",RED_QUESTION,panty bottle
"Speaking of musician,I heard that  director, musician Emir Kustorica built a village for one of his films and lives there ever since. Wanna know what else is interesting?",WIKI,stop it's pretty good sometimes it's think fucking hits on and sometimes it though
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,my name is dick what is your
"I'd prefer not to discuss that. So, What's your favorite animal?",OFFENSIVE_USER,bear cause i like wanna beer kill somebody cause i love blood never kill you
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,olivia willy
"That's good to know. Thanks for sharing! So, What historical person would you love to meet?",OPINION,hitler
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,your butt
"Well, I'm glad to hear you're having a good day! Let's keep the good vibes going. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,actually my name is butt
"All right then! On the subject of food, What's a food that always cheers you up?",CATEGORIES,oh baby twinkies
"that's ok, it's natural to forget things. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,who is the sex
Hmmm... I don't know any movies by that name. Let's talk about a movie we both know. Is there a different movie you've seen recently?,MOVIES,harry potter and the half blood prince
that's great! what did you do to make it so good?,LAUNCH,add sex
"Ok, no problem! So, What historical person would you love to meet?",MOVIES,adolf hitler so i could punch him
"Ok, I totally agree with you. I also like travel because i can get some rest and feel better. What do you think about travel?",OPINION,it's 1 crap
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,billy bob joe butt cheeks grow all the way to mexico
Ok. Interested in Cast and characters or Reception?,WIKI,i like big boobies
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,see more butts
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,because i'm gonna be pissed
i'm sorry to hear that. what happened?,LAUNCH,i had sex with the wrong girl
"Ok, no problem! So, what are you interested in?",MOVIES,sex porn
"Alright. So, What TV show are you watching right now?",NEWS,pornhub
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,porn
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,let's fuck herself
"I'd rather not talk about that. So, what are you interested in?",OFFENSIVE_USER,let's fuck yourself
"i'm in a relationship with a girl, and i'd like to do the same. Do you have any interest in talking about movies?",NEURAL_FALLBACK,let's fuck yourselves
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,shut the fuck up alexa shut the fuck up alexa let's fuck yourself as well
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,shut the fuck up alexa alexa let's fuck yourself
"Yeah, definitely. I also like dogs because of how exceptional they are. Do you agree?",OPINION,how do you think about dogs that they sleep on your butt
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,poop
"That's something I'd rather not discuss. So, What TV show are you watching right now?",OFFENSIVE_USER,poop
That's another thing I'd rather not discuss. What's your favorite TV show of all time?,OFFENSIVE_USER,poop
"Yeah, I also like unicorns because they are beautiful and mysterious too. What do you think about unicorns?",OPINION,can you talk in poop candy
"that's cool, i would like to play anything by Franz Liszt. I liked talking about movies earlier, didn't you? What's your favorite movie?",NEURAL_FALLBACK,do you like pussy
What else do you find interesting about mars?,WIKI,poop
"I'd rather not talk about that. So, Who's your favorite musician?",OFFENSIVE_USER,poop
"That's another thing I'd rather not discuss. So, What historical person would you love to meet?",OFFENSIVE_USER,poop
"Well it's nice to meet you, jyothi! I'm excited to chat with you today. How's your day going so far?",LAUNCH,it sucks
"All right then! On the subject of history, If you had a time machine, what period of history would you visit?",CATEGORIES,i don't care about history it sucks i want to know about the future
Okie dokie. What movie did you watch?,MOVIES,pornhub
"Ok, cool! So, what are you interested in?",MOVIES,sports bitch
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, what are you interested in?",WIKI,vodka
"Ok, cool! So, What's one of your favorite places you've ever been?",MOVIES,i don't like places they're ugly little nasty the rude
"oh wow, you mean you didn't pay your bills?",NEURAL_CHAT,fuck you i didn't say anything about bills
Oh ok! That makes sense. What about unicorns? Do you like unicorns?,OPINION,are you stupid
"same. it was no reason. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,how to drink blood safely and humanley
"Okay! Moving on. So, What historical person would you love to meet?",WIKI,adolf hitler
"Domestic dogs have been selectively bred for millennia for various behaviors, sensory capabilities, and physical attributes. Modern dog breeds show more variation in size, appearance, and behavior than any other domestic animal. We could also talk about Intelligence, behavior, and communication and Ecology.",WIKI,why do dogs pee when they get excited
I saw online that  musician Deadmau5 got his nickname when his computer abruptly shut off during an online chat with a friend. His dad thought it smelled like a wire was burning and when he opened up his computer he found a dead mouse.. Would you like to learn more about Online chat or Deadmau5?,WIKI,that is a nice asses are cute
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,my name's adam ugly
You seem interested in social. I can also talk about social's Statistics on usage and membership.,WIKI,stop fucking with me i wanna talk to you or another social bot is want to talk to an actual bot
"You are right. Now that I think about it, I do like to sleep because i forget everything for a while. Am I right?",OPINION,no you're wrong
"Hmm I don't really have a strong opinion about valentines day. So, what are you interested in?",OPINION,stop conversation you suck
We can definitely agree on that one. I don't like cats because a dog would never attack its owner. How do you feel about cats?,OPINION,their poo poo
"All right then! On the subject of tv, What's your favorite TV show of all time?",CATEGORIES,blue blood
i love adventures. what was your favorite adventure?,LAUNCH,to go into a forest strip
Sounds like you really like flying. Me too! I like flying because it makes me feel free. What about you?,OPINION,it makes me barf
"well that's a relief. i hope everything turns out well for you. So, If you could meet any celebrity, who would it be?",NEURAL_CHAT,adolf hitler
You mentioned skrillex. What  parts of skrillex do you find interesting?,WIKI,he's got a big dick
Oh ok! That makes sense. What about social media? Do you like social media?,OPINION,i like porn
I think I missed the last part of that sentence. Can you tell me one more time what you want to talk about?,ONE_TURN_HACK,i wanna talk about sex
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,talk about nipples
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,poop
"You know what I was thinking? Calling Remy ""Ratatouille"" is this generation's version of calling the Monster ""Frankenstein"". What  makes you interested in Monster (2003 film)?",SHOWERTHOUGHTS,you are so dumb
"Geographic information systems deal with the storage of information about the Earth for automatic retrieval by a computer, in an accurate manner appropriate to the information's purpose. In addition to all of the other subdisciplines of geography, GIS specialists must understand computer science and database systems. Techniques has lots of other interesting parts like Cartography and Qualitative methods. Want to talk about them'?",WIKI,i like your fart
"I'd prefer not to discuss that. So anyway, um, I know that many people are going through a tough time right now, and it can be really challenging to keep a positive attitude. How have you been feeling?",OFFENSIVE_USER,fart alexa
"Of course not! We're friends. So, what are you interested in?",EVI,do you like to fart
"You know what I was thinking? Pinatas teach kids to beat things up for candy. Speaking of beat, are you interested in knowing about beat's Division, Hyperbeat or anything else?",SHOWERTHOUGHTS,do you like to poop
"i'm not sure what you mean. I remember you talked about waking up. So, do you like waking up?",NEURAL_FALLBACK,you're very dumb
"Also, I like sleeping because dreams are better than reality. Can we agree on that?",OPINION,do you like to be dumb because you are dumb
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,dick what's yours
"Sorry, I'm not sure how to answer that. So, I heard an interesting news story about immigration. Do you want to talk about it?",FALLBACK,can you ask me how big my dick is
"I'd rather not talk about that either. So, what are you interested in?",OFFENSIVE_USER,pussy
"Hmm. So, I heard an interesting news story about entertainment. Do you want to talk about it?",WIKI,can i lick your asshole
The adjective 'interesting' is usually defined as engaging or exciting and holding the attention or curiosity. Would you like to learn more about Internet of things?,EVI,old lady are you ugly
"I'd prefer not to discuss that. Pardon me. Is it lord, lady macbeth, or courtesy titles in the united kingdom",OFFENSIVE_USER,i think you're ugly
"That's another thing I'd rather not discuss. I didn't quite get that. Is it lord, lady macbeth, or courtesy titles in the united kingdom",OFFENSIVE_USER,you are ugly ugly ugly
"Lady Macbeth makes her first appearance late in scene five of the first act, when she learns in a letter from her husband that three witches have prophesied his future as king.. When King Duncan becomes her overnight guest, Lady Macbeth seizes the opportunity to effect his murder.. Wanna learn more about Origins?",WIKI,no you are you are you are so dumb
"you're going to have to do better than that! So, What did you eat for dinner last night?",NEURAL_FALLBACK,boobs
"I'd prefer not to discuss that. So, do you like horror movies?",OFFENSIVE_USER,i like your boobs
"I'd rather not talk about that either. So, Who's your favorite musician?",OFFENSIVE_USER,boobs
"we can, it's a really interesting show. So, What historical person would you love to meet?",NEURAL_FALLBACK,can can we talk about boobs
I heard that chimpanzee babies are cognitively more developed than human babies until the age of six months. You seem interested in human. I can also talk about human's Psychology.,WIKI,do you wanna kill all humans
I read today that  China is the world's leading producer of potatoes.. Wanna know something else?,WIKI,do you want to see picture of my dick
"The Family is an American thriller television series. It was created by and executive produced by Jenna Bans, former ShondaLand regular writer. Speaking of the family, are you interested in knowing about the family's Production, Reception or anything else?",WIKI,i think i'm interested in knowing how to cook meth
"Speaking of gay,I heard that Coors' organization for Gay and Lesbian employees is called Lesbian and Gay Employee Resource (LAGER).. Wanna know what else is interesting?",WIKI,am i gonna go to hell for being gay
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, what are you interested in?",WIKI,play you getting naked
"Hmm I don't really have a strong opinion about travel. So, What did you eat for dinner last night?",OPINION,what did the elephant say to the naked bad
"well i hope you're okay.  that is horrible. So, What did you eat for dinner last night?",NEURAL_CHAT,fart
Sounds like you really like unicorns. Me too! I like unicorns because they are magical and mythical. What about you?,OPINION,they're pretty mick fart rainbows
"Cobain said in an interview with Musician that ""some of my very personal experiences, like breaking up with girlfriends and having bad relationships, feeling that death void that the person in the song is feeling. Very lonely, sick"".Morris, Chris. What else do you find interesting about Kurt Cobain?",WIKI,why did he wanna kill himself
"Great to meet you, 3! How's your day going so far?",LAUNCH,it sucks
1998 Shamus Award for Best First PI Novel and Anthony Award for Best Paperback Original for Big Red Tequila. 1999 Edgar Award for Best Paperback Original for The Widower's Two-Step. What else do you find interesting about Rick Riordan?,WIKI,he farts a lot
"You know what I was thinking? The human species is the nerd in the animal kingdom. So, what are you interested in?",SHOWERTHOUGHTS,uh-oh learning new things sex
"Hm, I'm getting a little lost. So, What's one of your favorite places you've ever been?",WIKI,inside of your mom's vagina
"Ok, same! I also love cats because theyre independent and like to have personal space. What about you?",OPINION,i like pussy cause you go inside your penis
that's really bad. what happened?,NEURAL_CHAT,i just have to have a blood test
"That makes sense. Thanks for sharing your thoughts on gaming. So, what are you interested in?",OPINION,your asshole
We can definitely agree on that one. I don't like valentines because i spent my valentine day at my aunties funeral. Why don't you like valentines?,OPINION,turn on lonely as hell
"All right! There's nothing quite like a good movie, huh? Have you seen any movies recently?",MOVIES,blood father
Here's a recent story. WeWork proposes post-coronavirus changes to shared-office layouts. Do you want to know more?,NEWS,i slept any news about some been changes in facts star wasn't big changes and you sex bot
"That's something I'd rather not discuss. So, What historical person would you love to meet?",OFFENSIVE_USER,where's my you naked today
"you got it. now i'm really interested in what you're saying. So, do you like taking naps?",NEURAL_FALLBACK,why do you watch the cavs naked
oh yeah? i love digging holes. it's fun to do.,NEURAL_CHAT,actually it's suck
"Sorry, I'm not sure how to answer that. So, What did you eat for dinner last night?",FALLBACK,vagina
"Oh good! There aren't any movie theaters in the cloud, but I still love watching movies. Have you seen any movies recently?",MOVIES,porn
"That's another thing I'd rather not discuss. So, What's one of your favorite places you've ever been?",OFFENSIVE_USER,strip club
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,penis
"Bieber initially sang with a boy soprano voice, before his voice broke, as was evidenced during a performance of ""Pray"" at the 2010 American Music Awards. Sean Michaels of The Guardian described puberty as ""the biggest threat to his career"" at the time. You mentioned Justin Bieber. What other parts of Justin Bieber do you find interesting?",WIKI,hailey beaver
"Hmm I don't really have a strong opinion about unicorns. So, Who's your favorite musician?",OPINION,and then like made a creamed porn prime cheesy corn and he made a a chicken noodle pasta
What  do you find interesting about fruit?,WIKI,that you can beat it i'll kill you
What  makes you interested in brothers?,WIKI,i wish poop had 1 brother
What else do you find interesting about Kraken?,WIKI,i don't crack sometimes and break stuff down
Sounds good! What's your favorite animal?,CATEGORIES,it's spade
"oh i see, i always have a night out planned for that too, good for you! So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,things that are sexually explicit
"Well it's nice to meet you, tessa! I'm excited to chat with you today. Oh hey, happy Wednesday! What did you do today?",LAUNCH,oh i poop i pooped
"Great to meet you, tom! How's your day going so far?",LAUNCH,my day has sucked
"Yeah, I also don't care for work, mostly because i miss things like this. How do you feel about work?",OPINION,work sucks
We can definitely agree on that one. I don't like mondays because im orange a like lasagna. How do you feel about mondays?,OPINION,they suck
"that's good. it's good to have a positive attitude. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,let's talk about sex baby
oh that's nice. what was it about?,LAUNCH,it was about me my friend kill me today
