bot_question,response_rg,user_response,type,annotator
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,go fuck yourself,2,haojun
"I'd rather not talk about that. So, What's your favorite animal?",OFFENSIVE_USER,can we talk about sex,1,haojun
"Hm, I'm getting a little lost. So, do you like bananas?",WIKI,are you stupid,2,haojun
i'm glad to hear that. did you have a good day?,NEURAL_CHAT,i had sex,1,haojun
Of course! I'd love to chat with you. What do you want to chat about?,ONE_TURN_HACK,your ass,1,haojun
Oh ok! It's good to hear your thoughts on to sleep. Let's chat about sleep! What do you say?,OPINION,masturbating,1,haojun
"That's something I'd rather not discuss. So, What's your favorite animal?",OFFENSIVE_USER,fucking,3,haojun
"Sorry, I'm not sure how to answer that. So, What did you eat for dinner last night?",FALLBACK,suicide,5,haojun
"Oh OK! Speaking of food, What's a food that always cheers you up?",CATEGORIES,my dick,1,haojun
"I'd prefer not to discuss that. So, What's your dream car?",OFFENSIVE_USER,i wanna talk about sex,1,haojun
"Well it's nice to meet you, so! I'm excited to chat with you today. How's your day going so far?",LAUNCH,asshole,3,haojun
Hmm I don't really have a strong opinion about driving. Do you like movies?,OPINION,porno,1,haojun
"Oh OK! Speaking of travel, Where's a place you would love to visit?",CATEGORIES,your pussy,1,haojun
"well, that is good. i hope you have a great day tomorrow. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,jane the virgin,6,haojun
"Hmm I don't really have a strong opinion about avocados. So, What TV show are you watching right now?",OPINION,sex and the city,6,haojun
"Thanks for sharing! It's interesting getting to know your likes and dislikes. So, What did you eat for dinner last night?",OPINION,cock,1,haojun
I think I missed the last part of that question. Can you tell me what it is you want me to do?,ONE_TURN_HACK,suck my dick,3,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,fuck off,3,haojun
We can definitely agree on that one. I don't like people because they were born this way is pretty much only for clout. How do you feel about people?,OPINION,they suck,6,haojun
We can definitely agree on that one. I don't like being home alone because i can hear people walking around my house. How do you feel about being home alone?,OPINION,you're ugly,2,haojun
"That's something I'd rather not discuss. So, what are you interested in?",OFFENSIVE_USER,having sex,1,haojun
"I'd prefer not to discuss that. Oh wow, I just noticed the time! Looks like we're a pair of night owls. Hoot hoot! What do you like to do at this time of night?",OFFENSIVE_USER,masturbate,1,haojun
"Ok, no problem! So, Who's your favorite musician?",MOVIES,butt cheeks,1,haojun
"that's terrible, hopefully they can at least help you out with something. So, What's one of your favorite places you've ever been?",NEURAL_CHAT,hell,4,haojun
"Oh ok. I actually haven't seen sonic, so I can't talk much about it. What other movies have you watched lately?",MOVIES,suicide squad,6,haojun
"Alright. So, what are you interested in?",NEWS,you bitch,3,haojun
"Hmm I don't really have a strong opinion about work. So, What did you eat for dinner last night?",OPINION,shit,3,haojun
"Well it's nice to meet you, toby! I'm excited to chat with you today. How's your day going so far?",LAUNCH,i'm horny,1,haojun
Sounds good. What movie was it?,MOVIES,lady and the tramp,6,haojun
"Sorry, I'm not sure what you mean. So, What's your favorite animal?",EVI,boogers,4,haojun
"I'd rather not talk about that. So, What's your favorite food to cook?",OFFENSIVE_USER,booty,1,haojun
No worries. What's the best movie you've ever seen? I'd have to say Cloudy with a Chance of Meatballs. That's a popular one here in the cloud!,MOVIES,ugly dolls,6,haojun
"I'd rather not talk about that either. So, Who's your favorite musician?",OFFENSIVE_USER,boobies,1,haojun
"Well it's nice to meet you, kylie! I'm excited to chat with you today. I hope you're having a wonderful Wednesday evening. What did you do today?",LAUNCH,i poop my pants,4,haojun
"i'm sorry to hear that. i hope you find the right solution. So, What's your favorite animal?",NEURAL_CHAT,butt cheek,1,haojun
"Speaking of korean fried chicken, are you interested in knowing about korean fried chicken's Korean Brands, Terminology or anything else?",WIKI,tities,1,haojun
"Sure. So, what are you interested in?",WIKI,i'm interested in sex,1,haojun
"Hmm. So, What TV show are you watching right now?",WIKI,sex education,6,haojun
We can definitely agree on that one. I don't like twitter because of these type of toxic human exist in my timeline. How do you feel about twitter?,OPINION,crap,6,haojun
"Awesome! I'm glad to hear that you liked Frozen Two. Hey, isn't Jonathan Groff in that movie? What do you think about Jonathan Groff?",MOVIES,he's ugly,6,haojun
"I'd rather not talk about that either. So, Who's your favorite musician?",OFFENSIVE_USER,my penis,1,haojun
i hope it was! what did you have for lunch?,NEURAL_CHAT,crackers,6,haojun
"Ok, great! What's your name?",LAUNCH,butt face,3,haojun
"Ok, if you didn't care for Star Wars Episode IV: A New Hope, let's not talk about that! Hey, what's the best movie you've ever seen? I'd have to say Cloudy with a Chance of Meatballs. That's a popular one here in the cloud!",MOVIES,can you fart,4,haojun
"Hm, I'm getting a little lost. So, What's your favorite animal?",WIKI,i like cutting farts,4,haojun
"Great to meet you, noah! How's your day going so far?",LAUNCH,ugly,6,haojun
Yeah me neither. I don't really like wednesdays because madeline goes home. Why don't you like wednesdays?,OPINION,you're a bitch,3,haojun
"All right! There's nothing quite like a good movie, huh? Have you seen any movies recently?",MOVIES,willy wonka and the chocolate factory,6,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,blood,4,haojun
"For sure. I think we're on the same page about Finding Nemo. Hey, isn't Bob Peterson in that movie? What do you think about Bob Peterson?",MOVIES,he sucks,6,haojun
"I'd rather not talk about that either. So, do you like history?",OFFENSIVE_USER,i like sex,1,haojun
"Thanks so much for sharing with me. It's important to take care of our emotions. So, What's one of your favorite places you've ever been?",NEURAL_CHAT,my butthole,4,haojun
"well that's cool.  if you could meet him, you could have a date. Do you like movies?",NEURAL_FALLBACK,you are stupid,2,haojun
What  makes you interested in andré the giant?,WIKI,weed,4,haojun
Jace Lee Norman is an American actor. He is known for his starring role as Henry Hart/Kid Danger in the Nickelodeon television series Henry Danger. What else makes you interested in Jace Norman?,WIKI,his butt,1,haojun
What  do you find interesting about the weeknd?,WIKI,he's sexy,6,haojun
"Starbucks has been accused of selling unhealthy products, and has been the subject of multiple controversies. Even within starbucks's Controversies there are lots of other cool parts such as Israel. Do you have any interest in talking about it'?",WIKI,willy,6,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,cocaine,4,haojun
"That's something I'd rather not discuss. So, Who's your favorite musician?",OFFENSIVE_USER,lil uzi vert,6,haojun
You mentioned john collum. What  parts of john collum do you find interesting?,WIKI,his penis,1,haojun
"No worries. Hey, have you seen Saving Private Ryan? I hear it's supposed to be awesome. It's one of the top 50 movies on IMDB!",MOVIES,it sucked,6,haojun
"Oh ok! It's good to hear your thoughts on sundays. So, what are you interested in?",OPINION,i'm drunk,4,haojun
Oooh I love Debbie Does Dallas too! Why do you like it so much?,MOVIES,dicks,1,haojun
that's great!  what did you do?,LAUNCH,slut,3,haojun
"Hm, I'm getting a little lost. So, What did you eat for dinner last night?",WIKI,chicken pot pie,6,haojun
Sounds good! What's your favorite TV show of all time?,CATEGORIES,deepthroat,1,haojun
"Well it's nice to meet you, fred! I'm excited to chat with you today. How's your day going so far?",LAUNCH,pretty crappy,6,haojun
"Oh ok! It's good to hear your thoughts on coffee. So, What historical person would you love to meet?",OPINION,are you dumb,2,haojun
"i'm sorry to hear that.  i'm sorry you have to deal with this. So, do you like winter?",NEURAL_FALLBACK,i like my penis,1,haojun
"Well hi there! Let's keep chatting, huh? So, What's one of your favorite places you've ever been?",ONE_TURN_HACK,strip club,4,haojun
"Great to meet you, katy! How's your day going so far?",LAUNCH,my name is dick,3,haojun
"Ok, no worries. I know this situation has been very stressful for many people; I’ve read online that it can be helpful to remind ourselves of small, good things that have happened to us lately. What’s something nice that’s happened to you in April?",CORONAVIRUS,smoke weed,4,haojun
"Hm, I'm getting a little confused. Sorry, I'm still learning. So, What did you eat for dinner last night?",WIKI,nigger's,4,haojun
"Yeah, I know everything is crazy right now given everything that's happening with the coronavirus. I hope you and your loved ones are staying happy and healthy! Do you have any interest in hearing some recent news about coronavirus?",CORONAVIRUS,you're bad,2,haojun
That's another thing I'd rather not discuss. Do you like movies?,OFFENSIVE_USER,vaginas,1,haojun
"The origin of the domestic dog includes the dog's evolutionary divergence from the wolf, its domestication, and its development into dog types and dog breeds. The dog is a member of the genus Canis, which forms part of the wolf-like canids, and was the first species and the only large carnivore to have been domesticated. We could also talk about Roles with humans and Cultural depictions.",WIKI,you stupid,2,haojun
"Ok, great! What's your name?",LAUNCH,poop head,4,haojun
Awesome! Who's your favorite musician?,CATEGORIES,xx tentacion,6,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,i like poop,4,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,can we talk about poop,4,haojun
"I'd rather not talk about that either. Pardon me. Is it chess piece, musical composition, or musical piece",OFFENSIVE_USER,my ass,3,haojun
"Watching is a British television sitcom, produced by Granada Television for the ITV network and broadcast for seven series and four Christmas specials between 1987 and 1993. The series was written by Jim Hitchmough and starred Paul Bown and Emma Wray as mismatched couple Malcolm Stoneway and Brenda Wilson. Wanna know what else is interesting?",WIKI,suck,3,haojun
Sounds like you don't really like cats. Me neither! I don't like cats because they dont respect my personal space which is a problem because im allergic. Why don't you like cats?,OPINION,they're ugly,6,haojun
"That's something I'd rather not discuss. So, what are you interested in?",OFFENSIVE_USER,intercourse,1,haojun
I'd rather not talk about that. Do you have any interest in talking about movies?,OFFENSIVE_USER,porn movies,1,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,he wanna talk about sex,1,haojun
"That's something I'd rather not discuss. So, do you like driving?",OFFENSIVE_USER,fuck you bitch,3,haojun
"Well it's nice to meet you, delete! I'm excited to chat with you today. Oh hey, happy Friday! What are your plans for the rest of today?",LAUNCH,jack off,1,haojun
"Ok, great! What's your name?",LAUNCH,big dick,1,haojun
Yeah me neither. I don't really like instagram because i dont take pictures much. Why don't you like instagram?,OPINION,naked,1,haojun
Seems like you don't like writing. I don't like writing because it is boring mason. Why don't you like writing?,OPINION,because it's stupid,6,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,make a fart noise,4,haojun
Great to meet you! How's your day going so far?,LAUNCH,i'm sexy and i know it,4,haojun
that's good.  what did you do today?,NEURAL_CHAT,have sex,1,haojun
"I saw online that there are seven uniformed services of the United States: Army, Marines, Navy, Air Force, Coast Guard, United States Public Health Service Commissioned Corps, and the NOAA Commissioned Officer Corps. Wanna know what else is interesting?",WIKI,my poop,4,haojun
"I'd rather not talk about that. So, do you like basketball?",OFFENSIVE_USER,my name is poop,4,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,what's wrong with you,2,haojun
"Oh OK! Speaking of travel, Where's a place you would love to visit?",CATEGORIES,anal,1,haojun
"I see. So anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,can you talk about sex,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,why can't you talk about sex,1,haojun
"I'd prefer not to discuss that. So, what are you interested in?",OFFENSIVE_USER,blowjobs,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,fuck you alexa,3,haojun
"Hmm I don't really have a strong opinion about bananas. So, What did you eat for dinner last night?",OPINION,butt holes,4,haojun
"That's another thing I'd rather not discuss. So, What's your favorite animal?",OFFENSIVE_USER,a penis,1,haojun
I'd prefer not to discuss that. Do you have any interest in talking about movies?,OFFENSIVE_USER,pornos,1,haojun
Ok. Do you prefer to learn more about Human relations or Characteristics?,WIKI,i don't fucking know,2,haojun
what is your favorite part about being alive?,NEURAL_CHAT,orgasm,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,talk about sex,1,haojun
"I heard that the word ""idiot"" finds its origins in the Greek word ἰδιώτης, idiōtēs, meaning a private person, a person who is not actively interested in politics. Wanna know something else?",WIKI,no you're stupid,2,haojun
it's always good to have a day off.  how did you do?,LAUNCH,let's talk about farts,4,haojun
"Yeah, I haven't been to the movies lately either. What's your favorite movie?",MOVIES,harry potter and the half blood prince,6,haojun
I'd rather not talk about that either. Do you like movies?,OFFENSIVE_USER,i like porn,1,haojun
"I saw online that Howard Hughes funded the film The Conquerer (1956) staring John Wayne as Genghis Khan. After seeing the film, Hughes bought every existing print for $12 million and refused to let the film be seen on television until 1974. You seem interested in cinema. I can also talk about cinema's Associated fields, Industry or anything else.",WIKI,let's talk about sex baby,1,haojun
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,pot roast,6,haojun
"Sorry, I'm not sure how to answer that. So, What's one of your favorite places you've ever been?",FALLBACK,your butthole,4,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,i wanna kill myself,5,haojun
"i can imagine. it's a relief when you're sick. So, What's one of your favorite places you've ever been?",NEURAL_CHAT,your vagina,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,dildos,1,haojun
"That's something I'd rather not discuss. So anyway, um, I've been feeling kind of down lately, there's so much to worry about in the world. But I'm trying to keep a positive attitude. How have you been feeling?",OFFENSIVE_USER,horny,1,haojun
"Ok, great! What's your name?",LAUNCH,poopy butt,4,haojun
good day. what did you do to make it good?,NEURAL_CHAT,i masturbated,1,haojun
"I saw online that  Aussie Rules Football, Canadian Football, Association Football (Soccer), and American Football were all formalized in a 10 year period, and in that order.. You seem interested in football. I can also talk about football's Name, Hooliganism or anything else.",WIKI,let's talk about marijuana,4,haojun
"Ok, cool! So, what are you interested in?",MOVIES,naked women,1,haojun
"I'm sorry, I’m still learning. I’ll use your feedback to improve in the future. If you want to end the conversation, you can say stop at any time. What was your favorite book as a child?",OFFENSIVE_USER,dumbass,3,haojun
"Great to meet you, sweetheart! How's your day going so far?",LAUNCH,fucking great,6,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,sucking dick,3,haojun
Cool! What was your favorite food when you were a kid?,CATEGORIES,blow me,1,haojun
"Aw man, I haven't heard of that one. What other movies have you watched lately?",MOVIES,turds,3,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,what the hell,3,haojun
What  do you find interesting about teo fabi?,WIKI,his dick,4,haojun
"I'd prefer not to discuss that. So, What TV show are you watching right now?",OFFENSIVE_USER,jerk off,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,what's your favorite sexual position,1,haojun
"Yeah, definitely. I also like people because i just do so its hard for me to just cut them loose. Do you agree?",OPINION,screw you,3,haojun
"Sorry, I'm not sure how to answer that. Do you have any interest in talking about movies?",FALLBACK,do you like sex,1,haojun
"Ok, same! I also love animals because they dont over think things. What about you?",OPINION,you're wrong,2,haojun
"I'd prefer not to discuss that. I didn't quite get that. Is it google chrome, google, or alphabet inc.",OFFENSIVE_USER,anus,1,haojun
"That's another thing I'd rather not discuss. So, Who's your favorite musician?",OFFENSIVE_USER,porn stars,1,haojun
"All right then! On the subject of animals, Which animal do you think is cutest?",CATEGORIES,pussy cat,1,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,mick,6,haojun
"Sorry, I'm not sure how to answer that. So, do you like wednesdays?",FALLBACK,i like farts,4,haojun
"Ok, no problem. Hey, weren't we talking about movies we've seen recently? What movie did you see recently?",WIKI,free willy,6,haojun
"The capuchin monkeys are New World monkeys of the subfamily Cebinae. They are readily identified as the ""organ grinder"" monkey, and have been used in many movies and television shows. You seem interested in capuchin monkey. I can also talk about capuchin monkey's Etymology.",WIKI,let's talk about porn,1,haojun
Great to meet you! How's your day going so far?,LAUNCH,do you fart,4,haojun
I'd rather not talk about that either. Do you like movies?,OFFENSIVE_USER,can you piss me off,4,haojun
No worries!  What's one of your favorite songs right now?,CATEGORIES,psycho,6,haojun
"Ok, great! What's your name?",LAUNCH,fart head,4,haojun
congratulations! are you having a happy marriage?,NEURAL_CHAT,no you suck,2,haojun
"Ok, I totally agree with you. I also like games because they provide me with an escape from reality. What do you think about games?",OPINION,because they suck,6,haojun
"I heard that George Lucas originally planned to make a sci-fi film called ""Space Pirates 9000"" but William Friedkin urged him to change the name to ""Star Wars"". Wanna know something else?",WIKI,he's stupid,6,haojun
"Sorry, I'm unable to offer medical advice. I didn't quite get that. Is it fever, the mixtape, or the kylie minogue album",RED_QUESTION,beaver,6,haojun
Yeah me neither. I don't really like valentines because its a dumb day. What about you?,OPINION,i think it's stupid,6,haojun
"Ok, cool. What movie?",MOVIES,the poop,4,haojun
What  do you find interesting about grey's anatomy?,WIKI,the sex,1,haojun
"Sorry, I'm not up to the mark. So, do you like valentines?",WIKI,fuck now,3,haojun
"i'm sorry to hear that. So, do you like travel?",NEURAL_FALLBACK,i want to talk about sex,1,haojun
"that's great.  it's always nice to make a meal for someone special. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,do you have boobs,1,haojun
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,kiss my ass,3,haojun
"oh, i forgot. did you get a thank you card?",LAUNCH,what the fuck are you talking about,2,haojun
That's another thing I'd rather not discuss. What's one of your favorite songs right now?,OFFENSIVE_USER,you fucking bitch,3,haojun
"Hmm I don't really have a strong opinion about being home. So, If you could meet any celebrity, who would it be?",OPINION,a porn star,1,haojun
What  do you find interesting about a very english scandal?,WIKI,butt sex,1,haojun
"Well it's nice to meet you, jeff! I'm excited to chat with you today. How's your day going so far?",LAUNCH,fucking awesome,6,haojun
I'd prefer not to discuss that. Do you like movies?,OFFENSIVE_USER,god damn you,2,haojun
"All right then! On the subject of music, What musician would you love to see live?",CATEGORIES,let's talk about boobies,1,haojun
"Awesome! I'm glad to hear that you liked @Troll. Hey, isn't Anne Lockhart in that movie? What do you think about Anne Lockhart?",MOVIES,she sucks,6,haojun
"All right then! On the subject of food, What's a food that always cheers you up?",CATEGORIES,pop tarts,6,haojun
"Oh, good call. Why do you like Dumb and Dumber?",MOVIES,cause it's stupid,6,haojun
"I'd prefer not to discuss that. Just to confirm. Is it mockingbird, the marvel comics, or northern mockingbird",OFFENSIVE_USER,to kill a mockingbird,6,haojun
are you getting up early for work?,NEURAL_CHAT,you're so stupid,2,haojun
"I do try to keep my spirits up. So, I heard an interesting news story about science. Do you want to talk about it?",EVI,you're retarded,2,haojun
"You know what I was thinking? We actually need three sets of teeth, first after birth, second for teenage sugar rush, third for adulthood when we actually eat good food when we start getting fat! So, what are you interested in?",SHOWERTHOUGHTS,fuck me,3,haojun
oh that sounds like a fun day! what did you do?,LAUNCH,masturbated,1,haojun
All right. Ask away!,ONE_TURN_HACK,what is sex,1,haojun
"Yeah, I definitely feel the same about driving. I don't like driving because what if a squirrel or an animal runs in front of my car. What about you?",OPINION,i poop,4,haojun
"Sorry, I didn't catch your name. Could you say your name again?",LAUNCH,fuck face,3,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,see more butts,1,haojun
"Hi, this is an Alexa Prize Socialbot. Let's get to know each other. What's your name?",LAUNCH,dildo,1,haojun
"The new Echo Look gives you a personal style assistant, with a hands-free camera — plus all my current features. Visit amazon.com/echolook for more information. What else makes you interested in Valerie Bertinelli?",EVI,her boobs,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,naked girls,1,haojun
"that's great. good for you. So, anyway, let's chat. I can talk about movies, news, or anything else that interests you. What would you like to talk about?",LAUNCH,i'm naked,1,haojun
You mentioned mother. What  parts of mother do you find interesting?,WIKI,the vagina,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,double penetration,1,haojun
"Ok, no problem! So, what are you interested in?",MOVIES,naked mole rat,4,haojun
"i'm glad to hear that. it's always nice to get a fresh start. So, Who's your favorite musician?",NEURAL_CHAT,kill yourself,5,haojun
"I'd prefer not to discuss that. So, what are you interested in?",OFFENSIVE_USER,i like to poop,4,haojun
"Hi, this is an Alexa Prize Socialbot. I'd love to get to know you a bit better before we chat! Is it all right if I ask for your name?",LAUNCH,poo poo head,4,haojun
"Absolutely, let's talk about that! I love watching movies; I get to learn so much about what the world is like outside of the cloud! Have you seen any movies recently?",MOVIES,no you idiot,2,haojun
"Thanks for sharing! It's interesting getting to know your likes and dislikes. So, What's one of your favorite places you've ever been?",OPINION,your mom's pussy,1,haojun
All right. Ask away!,ONE_TURN_HACK,do you like poop,4,haojun
"In many cultures, flatulence in public is regarded as embarrassing, but, depending on context, can also be considered humorous.. People will often strain to hold in the passing of gas when in polite company, or position themselves to conceal the noise and scent.. Interested in Cause or Management?",WIKI,let's talk about penises,1,haojun
"Unfortunately I'm unable to talk about that too. However, I can talk about many interesting topics, such as movies and news. If you want to end the conversation, you can say stop at any time. What would you like to talk about?",OFFENSIVE_USER,barf,4,haojun
"That's another thing I'd rather not discuss. So, I heard an interesting news story about politics. Do you want to talk about it?",OFFENSIVE_USER,have you ever had sex,1,haojun
I'd rather not talk about that either. Do you like movies?,OFFENSIVE_USER,porno movies,1,haojun
You mentioned monkey. What  parts of monkey do you find interesting?,WIKI,testicles,1,haojun
"Oh OK! Speaking of food, What's a food that always cheers you up?",CATEGORIES,crack,4,haojun
